,price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
3824,107000.0,50.0,-34.6152274138,-58.4774593388,Villa del Parque
3825,145000.0,58.0,-34.590514,-58.447075,Chacarita
3826,184900.0,70.0,-34.569879,-58.433221,Belgrano
3827,310000.0,74.0,-34.5865616106,-58.400336361,Recoleta
3828,111500.0,70.0,-34.578558,-58.509142,Villa Pueyrredón
3829,82000.0,40.0,-34.6010943,-58.406726,Almagro
3830,169000.0,63.0,-34.612425,-58.4806225,Paternal
3831,89500.0,40.0,-34.6202466,-58.4165902,Almagro
3832,73000.0,38.0,-34.6253319,-58.4446144,Caballito
3833,159491.2,36.0,-34.6237793251,-58.4204435349,Boedo
3834,62000.0,36.0,-34.6274383,-58.478013,Flores
3835,235000.0,86.0,-34.6058250584,-58.4297426784,Almagro
3836,174900.0,98.0,-34.60582,-58.393042,Balvanera
3837,155000.0,70.0,-34.6038768,-58.4156502,Almagro
3838,100000.0,32.0,-34.553811,-58.453759,Belgrano
3839,107334.0,38.0,-34.5578146,-58.4696832,Villa Urquiza
3840,137000.0,42.0,-34.607026,-58.442438,Caballito
3841,240000.0,65.0,-34.6282267,-58.4439153,Caballito
3842,99000.0,74.0,-34.6072023,-58.4035194,Balvanera
3843,260000.0,55.0,-34.5820218,-58.4209389,Palermo
3844,124000.0,47.0,-34.578634,-58.449841,Colegiales
3845,127691.61,85.0,-34.6258749,-58.360185,Boca
3846,225000.0,76.0,-34.5931886,-58.4246144,Palermo
3847,148000.0,33.0,-34.5671279,-58.4328769,Belgrano
3848,130000.0,44.0,-34.5742272,-58.4922864,Villa Urquiza
3849,100000.0,49.0,-34.6177615,-58.383662,Centro / Microcentro
3850,178000.0,60.0,-34.569335,-58.4348693,Palermo
3851,87000.0,41.0,,,Villa Lugano
3852,135000.0,74.0,-34.6060199414,-58.411080557,Balvanera
3853,80300.0,31.0,-34.6230511,-58.3914916,San Cristobal
3854,99000.0,45.0,-34.5915576,-58.508675,Villa Devoto
3855,95000.0,34.0,-34.612586,-58.419227,Almagro
3856,80070.0,34.0,-34.593335,-58.442214,Villa Crespo
3857,100705.0,38.0,,,Caballito
3858,150217.69,35.0,-34.6247395415,-58.4199746233,Boedo
3859,119000.0,48.0,-34.6217903,-58.4576825,Caballito
3860,95365.87,36.0,,,Liniers
3861,301303.55,49.0,-34.6226773,-58.3667589,San Telmo
3862,115000.0,70.0,-34.6054157,-58.4070327,Balvanera
3863,155000.0,65.0,-34.604424,-58.396872,Balvanera
3864,73150.0,36.0,-34.6106305,-58.4799666,Villa del Parque
3865,140000.0,47.0,-34.5711496,-58.4232966,Palermo
3866,105000.0,39.0,-34.6149058,-58.4128363,Balvanera
3867,103500.0,45.0,-34.6196382,-58.3995005,Balvanera
3868,111711.0,47.0,,,San Telmo
3869,99000.0,75.0,-34.6309832,-58.4806664,Floresta
3870,155000.0,81.0,-34.6052475,-58.408818,Almagro
3871,125000.0,40.0,-34.5703149,-58.4830019,Villa Urquiza
3872,115000.0,38.0,-34.592127,-58.412257,Palermo
3873,160000.0,57.0,-34.636246,-58.4909798,Floresta
3874,83000.0,41.0,-34.6191016,-58.4415901,Caballito
3875,154500.0,49.0,-34.597769,-58.42644,Villa Crespo
3876,98000.0,32.0,-34.6036844,-58.3815591,Belgrano
3877,240000.0,90.0,-34.573525,-58.442896,Palermo
3878,109000.0,58.0,-34.613361,-58.462683,Flores
3879,106000.0,41.0,-34.5688712,-58.4884216,Villa Urquiza
3880,145000.0,76.0,-34.606076,-58.459051,Caballito
3881,140000.0,70.0,-34.6012672,-58.4046626,Balvanera
3882,107200.0,33.0,-34.5687846,-58.4768939,Villa Urquiza
3883,142000.0,50.0,-34.5979435834,-58.415852535,Palermo
3884,110000.0,40.0,-34.5742806,-58.4346696,Belgrano
3885,169000.0,45.0,-34.5636498,-58.4653792,Palermo
3886,87000.0,40.0,-34.5716554,-58.5020382,Villa Pueyrredón
3887,72000.0,38.0,-34.637834,-58.503098,Villa Luro
3888,87500.0,41.0,-34.620583,-58.402827,San Cristobal
3889,335000.0,75.0,-34.5594846,-58.4451392,Belgrano
3890,81000.0,38.0,-34.6037137392,-58.3815808896,Caballito
3891,75000.0,31.0,-34.633021,-58.370341,Barracas
3892,93000.0,40.0,-34.5846208675,-58.421964492,Palermo
3893,169000.0,90.0,-34.6093503,-58.4514422,Caballito
3894,81559.0,46.0,-34.63093,-58.468101,Flores
3895,149000.0,44.0,-34.5735072,-58.4922827,Villa Urquiza
3896,235000.0,90.0,-34.5671066,-58.4723916,Villa Urquiza
3897,59600.0,33.0,-34.620858,-58.378926,San Telmo
3898,98000.0,41.0,-34.628822,-58.453314,Caballito
3899,122551.26,38.0,-34.570884,-58.4886936,Villa Urquiza
3900,88000.0,66.0,,,Congreso
3901,84900.0,49.0,-34.622985,-58.504922,Villa Devoto
3902,335000.0,100.0,-34.586174,-58.407823,Barrio Norte
3903,309000.0,86.0,-34.5490777851,-58.4552272783,Belgrano
3904,90000.0,44.0,-34.617329,-58.375159,San Telmo
3905,125000.0,48.0,-34.606491,-58.418555,Almagro
3906,189000.0,92.0,-34.60258,-58.420206,Almagro
3907,270000.0,83.0,-34.6265009044,-58.3595867514,Belgrano
3908,112000.0,44.0,-34.5765536,-58.4965425,Villa Urquiza
3909,139500.0,70.0,-34.6045043,-58.4372375,Villa Crespo
3910,70000.0,32.0,-34.609907,-58.384775,San Cristobal
3911,70000.0,31.0,-34.5833431,-58.4689267,Villa Urquiza
3912,171000.0,63.0,-34.6235515,-58.3740817,San Telmo
3913,86000.0,46.0,,,Floresta
3914,213688.0,35.0,-34.5679891,-58.4339848,Las Cañitas
3915,110000.0,76.0,-34.624639,-58.4661095,Flores
3916,105000.0,52.0,-34.6408037,-58.5010195,Villa Luro
3917,99000.0,57.0,-34.6334407,-58.4637448,Flores
3918,112000.0,63.0,-34.60257,-58.398213,Balvanera
3919,87000.0,41.0,-34.6058016853,-58.4152369651,Almagro
3920,138050.32,50.0,-34.6266572,-58.4241126,Boedo
3921,182000.0,59.0,-34.557199,-58.480847,Saavedra
3922,168000.0,87.0,-34.6052823,-58.4087617,Once
3923,270000.0,88.0,-34.5893508,-58.408068,Barrio Norte
3924,93000.0,42.0,-34.6106110157,-58.4795902886,Villa del Parque
3925,159500.0,49.0,-34.586491,-58.4389473,Palermo
